epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7421,0.95721,1.8604,1.58769,0.53265,0.58616,0.58637,0.33519,1.4103,1.71336,2.18541,0.0671549,0.000331768,0.000331768
2,178.325,0.90073,1.04847,1.53918,0.73794,0.88139,0.84146,0.60919,0.97021,1.05491,1.85692,0.0341547,0.000664901,0.000664901
3,262.724,0.88443,0.98663,1.50379,0.86719,0.83061,0.92762,0.58335,1.20548,1.04499,2.24521,0.00115373,0.000997231,0.000997231
4,354.258,0.86827,0.92196,1.49069,0.91965,0.70655,0.93614,0.69884,0.9152,1.01491,1.78661,0.000997288,0.000997288,0.000997288
5,447.358,0.82341,0.84873,1.44362,0.86459,0.95683,0.96338,0.72003,0.93696,0.74859,1.82823,0.000995183,0.000995183,0.000995183
6,538.7,0.81782,0.81281,1.44454,0.83576,0.90043,0.94144,0.61404,1.2834,0.94342,2.28185,0.00099248,0.00099248,0.00099248
7,631.982,0.80657,0.80905,1.43687,0.94343,0.96406,0.9745,0.72603,0.94728,0.63541,1.82345,0.000989183,0.000989183,0.000989183
8,722.801,0.80272,0.72609,1.42625,0.91702,0.91434,0.97231,0.72542,0.95128,0.67702,1.83426,0.000985296,0.000985296,0.000985296
9,807.172,0.77747,0.71493,1.39165,0.92145,0.95326,0.97845,0.74992,0.8713,0.6015,1.71666,0.000980825,0.000980825,0.000980825
10,894.173,0.74653,0.67163,1.38134,0.94881,0.93328,0.97466,0.79159,0.76535,0.56246,1.58131,0.000975773,0.000975773,0.000975773
11,979.797,0.7399,0.65689,1.36573,0.95331,0.97285,0.97716,0.76803,0.86499,0.53249,1.7576,0.000970148,0.000970148,0.000970148
12,1061.73,0.74326,0.66169,1.36248,0.94841,0.96528,0.97801,0.78384,0.80477,0.52412,1.61533,0.000963956,0.000963956,0.000963956
13,1145.91,0.73475,0.63219,1.36265,0.97113,0.95182,0.97541,0.7325,0.9725,0.55582,1.8717,0.000957205,0.000957205,0.000957205
14,1228.97,0.73557,0.6032,1.35562,0.95878,0.96407,0.97939,0.8167,0.71743,0.4904,1.51925,0.000949903,0.000949903,0.000949903
15,1310.96,0.7399,0.61124,1.36657,0.96657,0.96107,0.97857,0.79161,0.75911,0.47527,1.57683,0.000942059,0.000942059,0.000942059
16,1395.37,0.70909,0.58999,1.33965,0.96466,0.95696,0.98572,0.79394,0.76946,0.50742,1.61006,0.000933683,0.000933683,0.000933683
